segment_id,road_name,city,latitude,longitude,timestamp,current_speed_kmph,freeflow_speed_kmph,congestion_pct,source
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 10:40:01,29.870921349031192,60,60.258157301937615,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 11:40:01,31.15623009985527,60,57.68753980028946,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 12:40:01,44.10383042994409,60,31.792339140111817,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 13:40:01,42.20551325792931,60,35.588973484141384,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 14:40:01,47.04498985837644,60,25.91002028324713,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 15:40:01,36.69450849503539,60,46.61098300992922,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 16:40:01,36.151823787943236,60,47.69635242411353,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 17:40:01,36.54703394069809,60,46.905932118603815,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 18:40:01,24.641842183233095,60,70.71631563353381,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 19:40:01,24.12267339689933,60,71.75465320620134,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 20:40:01,41.89278131018936,60,36.21443737962127,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 21:40:01,47.62791758239371,60,24.744164835212594,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 22:40:01,35.57779181192423,60,48.84441637615154,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-04 23:40:01,56.11919088907354,60,7.7616182218529115,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 00:40:01,58.82937403123033,60,2.3412519375393392,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 01:40:01,56.56065581644957,60,6.878688367100865,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 02:40:01,56.30353479469365,60,7.392930410612707,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 03:40:01,55.2554036400007,60,9.489192719998599,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 04:40:01,57.90489755711874,60,4.1902048857625225,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 05:40:01,58.049171688780795,60,3.901656622438404,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 06:40:01,51.15680476041557,60,17.686390479168864,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 07:40:01,47.255125455853715,60,25.489749088292562,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 08:40:01,40.63234587914117,60,38.735308241717654,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 09:40:01,38.05268833426932,60,43.89462333146136,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 10:40:01,43.217358993668185,60,33.56528201266362,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 11:40:01,42.68601322401983,60,34.62797355196034,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 12:40:01,49.661346390768045,60,20.677307218463913,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 13:40:01,45.88970052685748,60,28.220598946285033,KAGGLE_SEED
1,Road 1,Bangalore,12.9716,77.5946,2026-09-05 14:40:01,48.04159207568246,60,23.916815848635075,KAGGLE_SEED
